SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
-----------  -----------                         -----------                             
DS001        TICKER                              Ticker                                  
DY339        SCALING_FORMAT                      Scaling Format Override                 
DS002        NAME                                Name                                    
DS276        EQY_CONSOLIDATED                    Equity Parent / Consolidated Indicator  
DS192        SHORT_NAME                          Short Name                              
RR900        PE_RATIO                            Price Earnings Ratio (P/E)              
RR029        RETURN_COM_EQY                      Return on Common Equity                 
DS377        EQY_FLOAT                           Equity Float                            
DX030        BOND_TO_EQY_TICKER                  Bond to Equity Ticker                   
YL176        GOVT_EQV_YLD_BID                    Bid Government Equivalent Yield         
YL178        GOVT_EQV_YLD_ASK                    Ask Government Equivalent Yield         
DS520        LONG_COMP_NAME                      Long Company Name                       
RR042        TOT_DEBT_TO_COM_EQY                 Tot Debt to Common Equity               
RR906        TRAIL_12M_EPS                       Trailing 12M Earnings Per Share         
DS671        ISSUER_PARENT_EQY_TICKER            Issuer Parent Equity Ticker             
DS324        EQY_FUND_YEAR                       Equity Fundamental Year                 
DX591        EURO_FUTURE                         Euro Future Indicator                   
BE008        BEST_EPS                            BEst EPS                                
RR007        TOTAL_EQUITY                        Total Shareholders Equity               
BE058        BEST_PEG_RATIO                      BEst PEG Ratio                          
DX463        PRIMARY_EQUITY_TICKER               Primary Equity Ticker                   
DS196        EQY_PRIM_EXCH_SHRT                  Primary Exchange Code                   
BS065        BS_RETAIN_EARN                      Retained Earnings and Other Equity      
DS215        EQY_FUND_CRNCY                      Currency Override                       
DS197        EQY_PRIM_EXCH                       Primary Exchange Name                   
RK001        EQY_BETA                            Beta                                    
RR909        PX_TO_EBITDA                        Price/EBITDA                            
BE017        BEST_LTG_EPS                        BEst LTG EPS                            
RR732        TOT_DEBT_TO_TOT_EQY                 Total Debt to Total Equity              
RR192        DILUTED_EPS_AFT_XO_ITEMS_GROWTH     Diluted EPS after XO Items - 1 Yr Growth
RR128        EBITDA_GROWTH                       EBITDA - 1 Yr Growth                    
BE063        BEST_EPS_EXCLUDES_STOCK_COMP        BEst EPS Excludes Stock Based Compensation
A0022        ARD_EQY_IN_EARN_AFFILIATE_JV        ARD Equity In Earnings of Affiliate/Joint Ventures
RX090        TRAIL_12M_EST_COMPARABLE_EPS_ADJ    Trailing 12M Estimate Comparable EPS Adjusted
F0230        PREFERRED_EQUITY_&_MINORITY_INT     Preferred Equity and Minority Interest  
IS019        IS_COMM_AND_FEE_EARN_INC_REO        Com & Fee Earn/Inc from REO             
RR475        EV_TO_T12M_EBIT                     Periodic EV to Trailing 12M EBIT        
