Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 KALOBIOS PHARMACEUTICALS INC,KBIO,Nasdaq National Market,$8,8750000,$70000000,1/31/2013,
 TRI POINTE HOMES INC.,TPH,New York Stock Exchange,$17,13689000,$232713000,1/31/2013,
 GLADSTONE LAND CORP,LAND,Nasdaq National Market,$15,3333334,$50000010,1/29/2013,
 STEMLINE THERAPEUTICS INC,STML,Nasdaq SmallCap Market,$10,3317644,$33176440,1/29/2013,
 BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,New York Stock Exchange,$22,10100000,$222200000,1/25/2013,
 LIPOSCIENCE INC,LPDX,Nasdaq National Market,$9,5000000,$45000000,1/25/2013,
 NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,Nasdaq National Market,$19,23529412,$447058828,1/18/2013,
 CYRUSONE INC.,CONE,Nasdaq National Market,$19,16500000,$313500000,1/18/2013,
 SUNCOKE ENERGY PARTNERS L.P.,SXCP,New York Stock Exchange,$19,13500000,$256500000,1/18/2013,
 CVR REFINING LP,CVRR,New York Stock Exchange,$25,24000000,$600000000,1/17/2013,
 USA COMPRESSION PARTNERS LP,USAC,New York Stock Exchange,$18,11000000,$198000000,1/15/2013,
 ALMAHINC,AAHC,OTCBB,$1.01,4000000,$4040000,1/2/2013,
 
